"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","expect - make an assertion about a specified subject","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","92",".parents() - get parent DOM elements from DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","1600","retries the should callback until assertions pass","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","97","Get environment variables","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.env()","",""
"","1097","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-02-25","passed","2026-02-25","","","",""
"","2137","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-25","passed","2026-02-25","","","",""
"","186","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","395",".as() - alias a DOM element for later use","Aliasing","2026-02-25","passed","2026-02-25","","","",""
"","106","cy.fixture() or require - load a fixture","Files","2026-02-25","passed","2026-02-25","","","",""
"","235","Cypress.$ - call a jQuery method","Utilities","2026-02-25","passed","2026-02-25","","","",""
"","140",".trigger() - trigger an event on a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","235","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","90",".siblings() - get all sibling DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","92","Control what is printed to the Command Log","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.log","",""
"","125","cy.contains() - query DOM elements with matching content","Querying","2026-02-25","passed","2026-02-25","","","",""
"","609","best practices - selecting elements","Querying","2026-02-25","passed","2026-02-25","","","",""
"","878","cy.go() - go back or forward in the browser's history","Navigation","2026-02-25","passed","2026-02-25","","","",""
"","1127","cy.exec() - execute a system command","Misc","2026-02-25","passed","2026-02-25","","","",""
"","98","Get CPU architecture name of underlying OS","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.arch","",""
"","353","cy.reload() - reload the page","Navigation","2026-02-25","passed","2026-02-25","","","",""
"","421",".as() - alias a route for later use","Aliasing","2026-02-25","passed","2026-02-25","","","",""
"","3764",".type() - type into a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","110","invokes a callback function with the current subject","Connectors","2026-02-25","passed","2026-02-25","",".then()","",""
"","341","cy.fixture() - load a fixture","Files","2026-02-25","passed","2026-02-25","","","",""
"","640","cy.request() - make an XHR request","Network Requests","2026-02-25","passed","2026-02-25","","","",""
"","97","yields the original subject without return","Connectors","2026-02-25","passed","2026-02-25","",".then()","",""
"","23","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","491","displays two todo items by default","example to-do app","2026-02-25","passed","2026-02-25","","","",""
"","169","cy.writeFile() - write to a file","Files","2026-02-25","passed","2026-02-25","","","",""
"","93","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-02-25","passed","2026-02-25","","Cypress.Screenshot","",""
"","251","pass your own callback function to should()","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","933","cy.screenshot() - take a screenshot","Misc","2026-02-25","passed","2026-02-25","","Cypress.Screenshot","",""
"","113",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","91",".last() - get last DOM element","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","89",".first() - get first DOM element","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","93",".spread() - spread an array as individual args to callback function","Connectors","2026-02-25","passed","2026-02-25","","","",""
"","267","can delete all completed tasks","example to-do app","2026-02-25","passed","2026-02-25","","with a checked task","",""
"","134","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","90",".next() - get next sibling DOM element","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","91","Get underlying OS name","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.platform","",""
"","436","can add new todo items","example to-do app","2026-02-25","passed","2026-02-25","","","",""
"","85",".prevAll() - get all previous sibling DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","140",".and() - chain multiple assertions together","Assertions","2026-02-25","passed","2026-02-25","","Implicit Assertions","",""
"","124",".closest() - get closest ancestor DOM element","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","324",".should() - make an assertion about the current subject","Assertions","2026-02-25","passed","2026-02-25","","Implicit Assertions","",""
"","321","cy.visit() - visit a remote url","Navigation","2026-02-25","passed","2026-02-25","","","",""
"","104","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-02-25","passed","2026-02-25","","","",""
"","309","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-02-25","passed","2026-02-25","","","",""
"","562",".add() - create a custom command","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.Commands","",""
"","185","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","115","can throw any error","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","93","cy.url() - get the current URL","Location","2026-02-25","passed","2026-02-25","","","",""
"","2530","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-02-25","passed","2026-02-25","","","",""
"","96",".find() - get descendant DOM elements of the selector","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","486",".clear() - clears an input or textarea element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","355","cy.getCookie() - get a browser cookie","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","194","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-25","passed","2026-02-25","","","",""
"","103","assert - assert shape of an object","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","95","cy.wrap() - wrap an object","Misc","2026-02-25","passed","2026-02-25","","","",""
"","93",".parent() - get parent DOM element from DOM elements","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","94",".filter() - get DOM elements that match the selector","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","202",".rightclick() - right click on a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","116","Get and set configuration options","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.config()","",""
"","88",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","95","cy.title() - get the title","Window","2026-02-25","passed","2026-02-25","","","",""
"","4455","cy.wait() - wait for a specific amount of time","Waiting","2026-02-25","passed","2026-02-25","","","",""
"","96",".prev() - get previous sibling DOM element","Traversal","2026-02-25","passed","2026-02-25","","","",""
"","498","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-25","passed","2026-02-25","","","",""
"","417",".submit() - submit a form","Actions","2026-02-25","passed","2026-02-25","","","",""
"","145",".focus() - focus on a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","414",".blur() - blur off a DOM element","Actions","2026-02-25","passed","2026-02-25","","","",""
"","90","Get current version of Cypress being run","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.version","",""
"","285","finds element by class name regex","Assertions","2026-02-25","passed","2026-02-25","","Explicit Assertions","",""
"","96","Get current spec information","Cypress APIs","2026-02-25","passed","2026-02-25","","Cypress.spec","",""
"","148",".scrollIntoView() - scroll an element into view","Actions","2026-02-25","passed","2026-02-25","","","",""
"","294","Cypress._ - call a lodash method","Utilities","2026-02-25","passed","2026-02-25","","","",""
